,N,f,Fisher,kappa,inc_org
584,371,0.50000000000000011,False,35,15
585,453,0.55000000000000016,False,5,48
586,363,0.6000000000000002,False,50,45
587,335,0.65000000000000013,False,30,40
588,96,0.70000000000000018,True,20,64
589,371,0.75000000000000022,True,35,84
590,342,0.80000000000000016,False,25,58
591,24,0.8500000000000002,True,35,76
592,31,0.90000000000000024,True,30,0
593,126,0.95000000000000029,True,55,13
594,383,0.10000000000000001,False,10,70
595,494,0.15000000000000002,False,40,38
596,104,0.20000000000000004,False,30,43
597,292,0.25000000000000006,False,25,10
598,163,0.30000000000000004,False,50,60
599,490,0.35000000000000009,False,30,31
600,162,0.40000000000000013,False,40,65
601,253,0.45000000000000007,False,50,86
602,433,0.50000000000000011,False,5,26
603,146,0.55000000000000016,False,35,36
604,218,0.6000000000000002,True,50,75
605,411,0.65000000000000013,False,45,44
606,249,0.70000000000000018,False,40,25
607,445,0.75000000000000022,False,35,20
608,354,0.80000000000000016,True,15,31
609,129,0.8500000000000002,False,75,9
610,310,0.90000000000000024,False,60,0
611,454,0.95000000000000029,False,70,68
612,132,0.10000000000000001,False,50,76
613,98,0.15000000000000002,False,70,80
614,17,0.20000000000000004,True,20,54
615,138,0.25000000000000006,False,30,29
616,353,0.30000000000000004,False,55,16
617,14,0.35000000000000009,True,40,67
618,29,0.40000000000000013,True,70,81
619,239,0.45000000000000007,True,60,75
620,402,0.50000000000000011,False,60,57
621,47,0.55000000000000016,True,15,84
622,179,0.6000000000000002,False,20,26
623,262,0.65000000000000013,True,20,85
624,380,0.70000000000000018,False,75,34
625,33,0.75000000000000022,True,75,86
626,232,0.80000000000000016,True,40,20
627,497,0.8500000000000002,False,50,88
628,428,0.90000000000000024,True,25,45
629,497,0.95000000000000029,True,5,44
630,194,0.10000000000000001,False,25,63
631,97,0.15000000000000002,False,65,49
632,31,0.20000000000000004,False,35,21
633,246,0.25000000000000006,False,45,61
634,22,0.30000000000000004,False,15,13
635,89,0.35000000000000009,False,45,0
636,179,0.40000000000000013,False,30,41
637,77,0.45000000000000007,False,15,18
638,347,0.50000000000000011,False,45,30
639,490,0.55000000000000016,False,25,4
640,427,0.6000000000000002,False,25,41
641,45,0.65000000000000013,True,50,47
642,327,0.70000000000000018,True,30,50
